,address,comment,id_res,id_user,latitude,longitude,name_res,rating,username,label
38,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Mình đã từng ăn rất nhiều chi nhánh của kichi từ sg xuống tận lx. Nhưng lần đầu tiên ăn ở lx mình cảm giác sốc nặng. Phục vụ thì chậm. Nhân vien thì k tập trung , đồ ăn thì thua khỏi phải nói. Lý do tại s mình nói thế, giá vé buffe cuối tuần k dưới 200(nếu tính VaT) vậy đổi lại ngta cần điều gì để chọn vào kichi mà k phải là chổ khác. Biết rằng cuối tuần đông nên mình vẩn chấp nhận đợi, nhưng bàn thì còn trống rất nhiều nhân viên thì k dọn. Cứ lo đi vv lấy mắt ngó. K chịu dọn để kh mới vào. Còn nhờ châm nước hay lấy thêm gì đó thì xđ là đã nhắc k dứoi 5 lần. Nhờ bạn này bạn này dà, xong bạn kia dà. Nhưng k ai làm. Bàn kh ăn xong cũng k tranh thủ dọn để khét lên đen. Ngồi kế bên  dĩa bán ngta ăn còn lại mìh k nuốt nổi. Còn băng tr thì.. ôi thôi.. mình đâu ăn buffe chay đâu, s toàn rau thế. Băng truyền thì trống,dĩa thì đầy, các bạn k khẩn trương dọn thì s kh có thể ăn tiếp phần khác. Các bạn nhìn hình đừng nghĩ là do mn ăn nhiều, k đâu đó là những dĩa tồn của kh đi chưa đc dọn đấy.. Gần 7,8 ng ngồi xung quanh chỉ pk thở dài lắc đầu,có bàn thậm chí đã bỏ ra tận hơn 5tr cho xuất ăn, nhưng mình quan sát ai cũng thấy thất vọng. kichi chuyên nghiệp đâu mất r. Đã pk là dô đó là chốn văn minh lịch sự. Dâu có ai nhờ các bạn mà nạt nộ hay lớn tiếng để các bạn ghét mà k làm đâu. Nhưng cái này đa rất quá đáng,nên mới phải nói thế này. Nói để hệ thống rút thêm kinh nghiệm và khách phục để tạo lại sự chuyên nghiệp cho kichi. Còn về phần quản lý, s lại k chỉ đạo các bạn làm việc, mà cứ đi vv chỉ tay năm ngón. Mình rất mún góp ý thẳng. Nhưng lúc đó mình chẳng có time, hy vọng là s cái cmt này các bạn sẽ chuyên nghiệp hơn và tốt hơn khi lần s mìnb có quay lại. Cám ơn đã đọc tin.",197981,Maisuri0212,10.38855,105.431577,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,1.8,Victoria Suri,0
50,"Lầu 4 - 10, Trần Hưng Đạo, P. Mỹ Bình,Tp. Long Xuyên, An Giang","Mình ghiền kichi kichi nên đi đâu có kichi là ăn liền.  Nay xuống Long Xuyên thấy Vincom có Kichi cũng ráng lết vào ăn. Được mấy anh chị sếp ngôi cuối chuyền cũng OK vì nghĩ k có gì ăn sẽ được gọi món như mọi chi nhánh khác của kichi.  Ngôi đợi rã rời không có gì ăn nên kêu anh phục vụ mang đồ ăn ra,  mình thấy bên kia có cải cúc nên cũng nhờ anh ấy mang ra anh ấy OK,  nhưng mãi k mang ra,  mình k có cái vá múc Nước lẫu hỏi sao mình k có thì ảnh nói quán đang hết vá nếu mình muốn thì sẽ lấy ra,  nhưng đợi mãi cũng k có,..  Ức quá chả ăn đc gì nữa.  Phải nói Nhân viên Kichi LX quá coi thường khách hàng. Chia tay kichi từ đây luôn.",197981,im_lonely32,10.38855,105.431577,Kichi Kichi - Lẩu Băng Chuyền Vincom Long Xuyên,1.0,Nguyễn Tuyền,0
68,"Trần Hưng Đạo,Tp. Long Xuyên, An Giang","Có ghé mua, người bán nói chuyện khó nghe và luôn tỏ vẻ khó chịu khi mình nghe không rõ hỏi lại. thái độ vô duyên. Súp cua tạm, không có gì đặc biệt. Bán ngay đường ngã 4 bất tiện khi dừng xe mua.",262462,foodee_v75iub6a,10.378611,105.439442,Súp Cua Hải Sản,1.4,Ưu Vô,0
93,"146 Phạm Cự Lượng, P. Mỹ Quý,Tp. Long Xuyên, An Giang","Giá trên menu đều chênh lệch thêm 20-50k so với giá tính tiền. Đồ ăn tươi nhưng chế biến ko ngon. Quán vắng nhưng phục vụ chậm trễ. Đặc sản được giới thiệu là cơm ghẹ thì ăn hơi dở.
Diem duy nhat la Chị chủ nhiệt tình.",774599,Tommy2018,10.3651804155724,105.44576873849199,Quán Bia Lu 868,3.2,Tommy2018,0
139,"Trưng Nữ Vương, P. Châu Phú B,Thành Phố Châu Đốc, An Giang","Mình là khách du lịch, tìm thấy quán chè trên foody nên lại ăn thử.
Nhóm mình 7 người ăn thử chè bưởi, tàu hủ đá, chè thập cẩm, tất cả đều dở.
Giá: 120.000 vnd cho 7 người
Vị trí: ngồi lề đường nên được bonus muỗi cắn
Trời tối quá nên không buồn chụp hình",292261,xuanphan87,10.708585,105.120224,Mỹ Vân - Quán Chè,2.0,xuan phan,0
144,"438 Nguyễn Văn Thoại,Thành Phố Châu Đốc, An Giang","Thấy review khá nhiều về quán nên củg lại ăn thử . Lúc lại kêu 1 lẩu 140k và bò nướng thường ,2 lon nước. Đồ ăn của lẩu thì khá ít đc 3 con tôm là ổn thôi, nước lẩu ăn cũng tạm nhưng ko có nước chấm , bò ra cũng vậy ko có nước chấm ướp thì cũg ngon. Nhưg hơi nhạt nên đi kèm nước chấm :) lẩu kêu ra thì ko có mì phải kêu thêm, hột gà với trứng cút hỏi tính tiền giá sao thì bạn nhân viên ko biết , ko biết giá sao dám ăn. 😁 hết đá thì bạn nhân viên có cầm xô đá đi ngag nhưg cũng ko để đá thêm cho bàn mình. Ko có khăn giấy. Ôi cái gì cũng phải lên tiếng xin. Chắc ko có lại lần 2 ☺",662064,nhiimeii,10.705554,105.1131156,Quán KEN - Lẩu Hàn Quốc,2.8,Nhiimeii,0
290,"Nguyễn Văn Thoại,Thành Phố Châu Đốc, An Giang","Người dân chỉ cứ lên chợ Châu Đốc ăn sẽ ko bị chém nên chủ quan không hỏi giá... Và cái kết là 100k cho 2 tô không đủ nhét kẽ răng, quán chật chội thiếu không gian, bà chủ quán không thân thiện, ăn nói như vả vào mặt khách, vợ mình khen sa tế ngon nên kêu mình mua về vài hũ nhưng khi tính tiền xong là lên xe đi luôn... Từ đây về sau cạch mặt luôn cái quán này... Quán nằm ngay góc ngã 4, đối diện là điện máy xanh, kế bên có 1 xe bán sinh tố nước giải khát",274261,foodee_h65kmn3x,10.709409,105.118357,Bún Mắm Châu Đốc,1.0,Khoa Vũ,0
295,"242/4 Lương Văn Cù,Tp. Long Xuyên, An Giang","Phòng cấm hút thuốc mà khách hút thuốc ngay trong phòng có trẻ em lúc đó nhưng nhân viên chỉ nhếch mép cười khi có khách hàng than phiền về việc có người hút thuốc trong phòng.

Món sườn kho bị cháy nhiều
Canh chua cá ngát quá chua và cá không tươi.
Món bông điên điển ok.",116062,phuocom,10.3802085,105.4421425,Tiệm Cơm Hồng Phát,2.4,phuoc bt,0
300,"21 Phan Đình Phùng (Ngô Gia Tự),Tp. Long Xuyên, An Giang","Quán lúc xưa nằm ngay góc đường , Phan Đình Phùng B và Lê Minh Ngươn , thì phong cách phục vụ tốt , món ăn ngon , từ lúc dời qua chổ bán hiện nay , thì việc vệ sinh ko mấy sạch sẽ , nơi rửa chén bát gần nhà vệ sinh , nhìn thấy phát ớn , chưa kể lủ chuột khách đang ăn  tụi nó chạy rần rần , người phụ nữ hơi béo béo ( chắc là chủ quán ) cái mặt thì chằm dằm , vừa chặt thịt vừa la ỏm tỏi, nói năng cọc cằn , mua ăn mà mình tưởng đi xin của họ , cận tết thì lại tăng giá gắp đôi , hôm mấy bạn sài gòn về , mình ko chịu ghé quán , nhưng có 2 bạn lở vào trước nên mình cũng đành vào theo , cơm tấm thì ngon , món tôm kho tàu mặn chát , chắc cũng vài ngày , tính tiền giá lại cao , nói chung ngày xưa thì tốt , còn hiện giờ thì nên tránh xa .",252758,foodee_ep9cz2gt,10.384057,105.441252,Cơm Tấm Loan,1.8,foodee_ep9cz2gt,0
333,"119 Nguyễn Huệ B, P. Mỹ Long,Tp. Long Xuyên, An Giang","Combo shushi 99k ít, dở, chán mà quảng cáo nói đủ hai người ăn, gà sốt cay ăn ngon nhưng phải kêu cơm nắm ăn thêm mới không ngán vs bị cay, cơm nắm có miếng rong biển tính 20k cạn lời... không gian khá, nhân viên ok",215388,lamtin0945755818,10.384066,105.443749,Dreamcatcher - Món Ăn Vặt Nhật Bản,3.2,Khoa Lê,0
